Tipo,PERFIL,d,bf,tf,hw,tw,r2,bf/2tf,hw/tw,Ag,Peso,Ix,Sx,rx,Qx,Zx,Iy,Sy,ry,Qy,1.5Sy,Zy,w1,d1,w4,t1,t2,J,Cw,X1,X2 (10)-5,Lp_alma,Lr_alma,Lp_ala,Lr_ala,x,eo,xp,Designacion,b,t,r,r1,b/t,ex-ey,w,v1,Ix-Iy,Sx-Sy,rx-ry,Iv,Sv,iv,Iz,iz
W,8x67,229,210,23.7,156.0,14.5,,4.4,10.7,127.1,99.7,11321.0,990.0,9.5,575.0,1150.0,3688.0,351.0,5.4,268.0,526.0,536.0,,,,,,211.0,386692.0,45643,1.55,,,,,,,,,,,,,,,,,,,,,,,,
W,8x58,222,209,20.6,156.0,13.0,,5.1,12.0,110.3,86.3,9490.0,852.0,9.3,490.0,980.0,3126.0,300.0,5.3,229.0,450.0,457.0,,,,,,139.0,316872.0,40128,2.57,,,,,,,,,,,,,,,,,,,,,,,,
W,8x48,216,206,17.4,156.0,10.2,,5.9,15.3,91.0,71.4,7659.0,710.0,9.2,401.0,803.0,2535.0,246.0,5.3,188.0,369.0,375.0,,,,,,81.6,250007.0,33509,5.01,,,,,,,,,,,,,,,,,,,,,,,,
W,8x40,210,205,14.2,156.0,9.1,,7.2,17.0,75.5,59.5,6077.0,582.0,9.0,326.0,652.0,2044.0,200.0,5.2,152.0,300.0,303.0,,,,,,46.6,194957.0,28131,10,,,,,,,,,,,,,,,,,,,,,,,,
W,8x35,206,204,12.6,156.0,7.9,,8.1,19.8,66.5,52.1,5286.0,511.0,8.9,284.0,569.0,1773.0,174.0,5.2,132.0,261.0,264.0,,,,,,32.0,166224.0,24890,16,,,,,,,,,,,,,,,,,,,,,,,,
W,8x31,203,203,11.0,156.0,7.2,,9.2,21.5,58.9,46.1,4579.0,451.0,8.8,249.0,498.0,1544.0,152.0,5.1,116.0,228.0,231.0,,,,,,22.5,142324.0,22270,24.8,,,,,,,,,,,,,,,,,,,,,,,,
W,8x28,205,166,11.8,156.0,7.2,,7.0,21.5,53.2,41.7,4079.0,398.0,8.8,223.0,446.0,903.0,109.0,4.1,82.8,163.0,166.0,,,,,,22.5,83783.0,23994,19.6,,,,,,,,,,,,,,,,,,,,,,,,
W,8x24,201,165,10.2,156.0,6.2,,8.1,25.0,45.7,35.7,3446.0,342.0,8.7,190.0,380.0,762.0,92.3,4.1,70.2,138.0,140.0,,,,,,14.6,69551.0,20822,33.9,,,,,,,,,,,,,,,,,,,,,,,,
W,8x21,210,134,10.2,168.0,6.4,,6.6,26.5,39.7,31.3,3134.0,298.0,8.9,167.0,334.0,407.0,60.8,3.2,46.6,91.2,93.2,,,,,,11.7,40817.0,19926,44,,,,,,,,,,,,,,,,,,,,,,,,
W,8x18,207,133,8.4,168.0,5.8,,8.0,28.8,33.9,26.8,2576.0,249.0,8.7,139.0,279.0,332.0,49.8,3.1,38.2,74.7,76.4,,,,,,7.1,32761.0,17168,81.8,,,,,,,,,,,,,,,,,,,,,,,,
W,8x15,206,102,8.0,168.0,6.2,,6.4,27.0,28.7,22.3,1998.0,193.0,8.4,111.0,223.0,142.0,27.9,2.2,21.9,41.8,43.8,,,,,,5.8,13910.0,18409,72.4,,,,,,,,,,,,,,,,,,,,,,,,
W,8x13,203,102,6.5,168.0,5.8,,7.8,28.8,24.8,19.3,1648.0,162.0,8.2,93.4,187.0,114.0,22.5,2.1,17.6,33.7,35.2,,,,,,3.8,10956.0,16341,122,,,,,,,,,,,,,,,,,,,,,,,,
W,8x10,200,100,5.2,168.0,4.3,,9.6,39.0,19.1,14.9,1282.0,128.0,8.2,72.7,145.0,87.0,17.4,2.1,13.6,26.1,27.2,,,,,,1.7,8298.0,12135,377,,,,,,,,,,,,,,,,,,,,,,,,
W,6x25,162,154,11.6,121.0,8.1,,6.7,14.8,47.4,37.2,2223.0,274.0,6.9,155.0,310.0,712.0,91.9,3.9,70.1,138.0,140.0,,,,,,19.1,40280.0,30406,7.76,,,,,,,,,,,,,,,,,,,,,,,,
W,6x20,157,153,9.3,121.0,6.6,,8.3,18.3,37.9,29.8,1723.0,220.0,6.8,122.0,244.0,554.0,72.3,3.8,55.1,108.0,110.0,,,,,,10.0,30345.0,24476,17.8,,,,,,,,,,,,,,,,,,,,,,,,
W,6x15,152,152,6.6,121.0,5.8,,11.5,20.7,28.6,22.3,1211.0,159.0,6.5,88.5,177.0,388.0,51.0,3.7,38.9,76.4,77.8,,,,,,4.2,20543.0,18892,52,,,,,,,,,,,,,,,,,,,,,,,,
W,6x16,160,102,10.3,121.0,6.6,,5.0,18.3,30.6,23.8,1336.0,167.0,6.6,95.9,192.0,184.0,36.1,2.5,27.8,54.1,55.6,,,,,,9.2,10258.0,27648,12.4,,,,,,,,,,,,,,,,,,,,,,,,
W,6x12,153,102,7.1,121.0,5.8,,7.1,20.7,22.9,17.9,920.0,120.0,6.3,68.0,136.0,124.0,24.6,2.3,19.0,36.9,38.0,,,,,,3.8,6633.0,21374,36.6,,,,,,,,,,,,,,,,,,,,,,,,
W,6x9,150,100,5.5,121.0,4.3,,9.2,27.9,17.3,13.4,683.0,91.0,6.3,51.0,102.0,91.2,18.2,2.3,14.1,27.3,28.2,,,,,,1.7,4753.0,16272,105,,,,,,,,,,,,,,,,,,,,,,,,
W,5x19,131,128,10.9,88.9,6.9,,5.9,13.0,35.7,28.3,1091.0,167.0,5.5,95.0,190.0,380.0,59.5,3.3,45.3,89.2,90.6,,,,,,12.9,13642.0,35439,4.04,,,,,,,,,,,,,,,,,,,,,,,,
W,5x16,127,127,9.1,88.9,6.1,,6.9,14.6,30.2,23.8,887.0,139.0,5.4,78.6,157.0,313.0,49.2,3.2,37.4,73.7,74.9,,,,,,7.9,10903.0,30613,7.28,,,,,,,,,,,,,,,,,,,,,,,,
W,4x13,106,103,8.8,69.9,7.1,,5.9,9.8,24.7,19.3,470.0,89.5,4.4,51.5,103.0,161.0,31.1,2.5,23.9,46.7,47.9,,,,,,6.2,3760.0,38335,3.24,,,,,,,,,,,,,,,,,,,,,,,,
HP,14x117,361,378.0,20.5,286.0,20.5,,9.3,14.0,221.9,174.1,50780.0,2819.0,15.1,1590.0,3179.0,18439.0,975.0,9.1,749.0,1463.0,1498,,,,,,334,5343864,26683,13.9,,,,,,,,,,,,,,,,,,,,,,,,
HP,14x102,356,376,17.9,286.0,17.9,,10.5,16.0,193.5,151.8,43704.0,2458.0,15.0,1385.0,2769.0,15817.0,842.0,9.0,646.0,1263.0,1291.0,,,,,,225,4511403,23442,22.9,,,,,,,,,,,,,,,,,,,,,,,,
HP,14x89,351,373,15.6,286.0,15.6,,11.9,18.3,168.4,132.4,37627.0,2147.0,14.9,1196.0,2393.0,13569.0,726.0,9.0,555.0,1089.0,1109.0,,,,,,150,3813209,20408,38.7,,,,,,,,,,,,,,,,,,,,,,,,
HP,14x73,346,370,12.8,286.0,12.8,,14.4,22.3,138.1,108.6,30343.0,1753.0,14.8,967.0,1934.0,10864.0,587.0,8.9,447.0,880.0,895.0,,,,,,83.7,3007602,16892,81.6,,,,,,,,,,,,,,,,,,,,,,,,
HP,12x84,312,312.0,17.4,241.0,17.4,,9.0,13.9,158.7,125.0,27055.0,1737.0,13.1,983.0,1966.0,8866.0,567.0,7.5,436.0,850.0,872,,,,,,176,1922717,26614,14.1,,,,,,,,,,,,,,,,,,,,,,,,
HP,12x74,308,310,15.5,241.0,15.4,,10.0,15.7,140.6,110.1,23684.0,1537.0,13.0,860.0,1721.0,7742.0,498.0,7.4,382.0,747.0,764.0,,,,,,124,1656866,23718,22.1,,,,,,,,,,,,,,,,,,,,,,,,
HP,12x63,303,308,13.1,241.0,13.1,,11.8,18.4,118.7,93.8,19646.0,1296.0,12.9,723.0,1447.0,6368.0,415.0,7.3,317.0,622.0,634.0,,,,,,76.2,1339994,20271,40.8,,,,,,,,,,,,,,,,,,,,,,,,
HP,12x53,299,306,11.1,241.0,11.1,,13.8,21.8,100.0,78.9,16358.0,1095.0,12.8,606.0,1213.0,5286.0,346.0,7.3,264.0,519.0,528.0,,,,,,46.6,1098312,17237,76.8,,,,,,,,,,,,,,,,,,,,,,,,
HP,10x57,254,260.0,14.4,194.0,14.4,,9.1,13.5,108.4,84.8,12237.0,964.0,10.6,545.0,1090.0,4204.0,323.0,6.2,248.0,484.0,497,,,,,,82,601520,27027,13.3,,,,,,,,,,,,,,,,,,,,,,,,
HP,10x42,246,256,10.7,194.0,10.5,,12.0,18.4,80.0,62.5,8741.0,711.0,10.5,396.0,791.0,2984.0,233.0,6.1,179.0,349.0,357.0,,,,,,33.7,413545,20133,41.4,,,,,,,,,,,,,,,,,,,,,,,,
HP,8x36,204,207.0,11.3,156.0,11.3,,9.2,13.8,68.4,53.6,4953.0,488.0,8.5,275.0,551.0,1677.0,162.0,5.0,125.0,243.0,249,,,,,,32,155214,26476,14.4,,,,,,,,,,,,,,,,,,,,,,,,
M,12x11.8,303.0,78.0,5.7,278.0,4.5,,6.8,61.8,22.5,17.6,2984.0,198.0,11.5,117.0,234.0,45.4,11.6,1.42,9.5,17.4,19,,,,,,2.081,9130,9791,1193,,,,,,,,,,,,,,,,,,,,,,,,
M,12x10.8,301.0,78.0,5.2,276.0,4.1,,7.4,67.1,20.7,16.1,2739.0,182.0,11.5,107.0,215.0,41.4,10.6,1.4,8.6,16,17.2,,,,,,1.665,8405,9101,1595,,,,,,,,,,,,,,,,,,,,,,,,
M,10x9,250,68.0,5.2,225.0,4.0,,6.5,56.5,17.2,13.4,1602.0,128.0,9.7,75.5,151.0,28.0,8.2,1.3,6.7,12.3,13.4,,,,,,1.249,3921,10825,780,,,,,,,,,,,,,,,,,,,,,,,,
M,10x8,249,68.0,4.7,224.0,3.5,,7.4,63.4,15.4,11.9,1428.0,115.0,9.7,67.2,134.0,24.8,7.3,1.3,5.9,10.9,11.8,,,,,,0.832,3437,9653,1216,,,,,,,,,,,,,,,,,,,,,,,,
M,"8x6,5",199.0,58.0,4.7,175.0,3.4,,6.1,51.7,12.4,9.7,753.0,75.7,7.8,44.2,88.5,15.4,5.3,1.1,4.3,7.99,8.64,,,,,,0.832,1404,12273,435,,,,,,,,,,,,,,,,,,,,,,,,
M,"5x18,9",127,127.0,10.6,82.6,8.0,,6.0,10.3,35.8,28.1,1003.0,158.0,5.3,90.1,180.0,327.0,51.5,3.0,41.1,77.2,82.3,,,,,,14.15,11091,39369,2.82,,,,,,,,,,,,,,,,,,,,,,,,
UPN,30x15,30,15,4.5,12,4.0,2,3.33,3,2.21,1.74,2.53,1.69,1.07,-,-,0.38,0.39,0.42,-,-,-,10,6.4,5,3.9,5.1,0.14,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
UPN,30,30,33,7,1,5,3.5,4.71,0.2,5.44,4.27,6.39,4.26,1.08,-,-,5.33,2.68,0.99,-,-,-,18,8.4,15,5.68,8.32,0.82,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
UPN,40x20,40,20,5.5,18,5,2.5,3.64,3.6,3.66,2.87,7.58,3.79,1.44,-,-,1.14,0.86,0.56,-,-,-,11,6.4,9,4.7,6.3,0.34,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
UPN,40,40,35,7,11,5,3.5,5,2.2,6.21,4.87,14.1,7.05,1.5,-,-,6.68,3.08,1.04,-,-,-,18,11,17,5.6,8.4,0.91,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
UPN,50x25,50,25,6,25,5,3,4.17,5,4.92,3.86,16.8,6.73,1.85,-,-,2.49,1.48,0.71,-,-,-,16,8.4,9,5,7,0.52,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
UPN,50,50,38,7,20,5,3.5,5.43,4,7.12,5.59,26.4,10.6,1.92,-,-,3.12,3.75,1.13,-,-,-,20,11,18,5.48,8.52,1.02,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,
UPN,60,60,30,6,35,6,3,5,5.83,6.46,5.07,31.6,10.5,2.21,-,-,4.51,2.16,0.84,-,-,-,18,8.4,12,4.8,7.2,0.78,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
UPN,65,65,42,7.5,33,5.5,4,5.6,6,9.03,7.09,57.5,17.7,2.52,-,-,14.1,5.07,1.25,-,-,-,25,11,17,5.82,9.18,1.46,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
UPN,80,80,45,8,46,6,4,5.63,7.67,11,8.64,106,26.5,3.1,15.9,31.8,19.4,6.36,1.33,6.35,9.54,12.08,25,13,20,6.2,9.8,2,196.54,48818,0.12,68,555,62,501,,,,,,,,,,,,,,,,,,,,
UPN,100,100,50,8.5,64,6,4.5,5.88,10.7,13.5,10.6,206,41.2,3.91,24.5,49,29.3,8.49,1.47,8.59,12.7,16.21,30,13,20,6.5,10.5,2.64,481.65,40033,0.27,76,506,68,454,,,,,,,,,,,,,,,,,,,,
UPN,120,120,55,9,82,7,4.5,6.11,11.7,17,13.4,364,60.7,4.62,36.3,72.6,43.2,11.1,1.59,11.61,16.7,21.27,30,17,25,6.8,11.2,3.84,1039.2,36738,0.4,82,504,74,450,,,,,,,,,,,,,,,,,,,,
UPN,140,140,60,10,98,7,5,6,14,20.4,16,605,86.4,5.45,51.4,103,62.7,14.8,1.75,15.36,22.2,28.32,35,17,25,7.6,12.4,5.37,2073.5,33445,0.57,90,508,81,451,,,,,,,,,,,,,,,,,,,,
UPN,160,160,65,10.5,115,7.5,5.5,6.19,15.3,24,18.8,925,116,6.21,68.8,138,85.3,18.3,1.89,19.37,27.5,35.2,35,21,30,7.9,13.1,6.97,3750.3,30779,0.82,97,509,87,449,,,,,,,,,,,,,,,,,,,,
UPN,180,180,70,11,133,8,5.5,6.36,16.6,28,22,1350,150,6.95,89.6,179,114,22.4,2.02,24.04,33.6,43.14,40,21,30,8.2,13.8,8.91,6383.5,29063,1.07,104,517,93,453,,,,,,,,,,,,,,,,,,,,
UPN,200,200,75,11.5,151,8.5,6,6.52,17.8,32.2,25.3,1910,191,7.7,114,228,148,27,2.14,29.41,40.5,51.89,40,23,35,8.5,14.3,11.23,10429,27479,1.37,110,522,99,453,,,,,,,,,,,,,,,,,,,,
UPN,220,220,80,12.5,167,9,6.5,6.4,18.6,37.4,29.4,2690,245,8.48,146,292,197,33.6,2.3,36.38,50.4,64.4,45,23,35,9.3,15.7,15.16,16737,26823,1.49,118,550,106,476,,,,,,,,,,,,,,,,,,,,
UPN,240,240,85,13,184,9.5,6.5,6.54,19.4,42.3,33.2,3600,300,9.22,179,358,248,39.6,2.42,43.3,59.4,76.02,45,25,40,9.6,16.4,18.57,25390,25785,1.79,124,560,112,481,,,,,,,,,,,,,,,,,,,,
UPN,260,260,90,14,200,10,7,6.43,20,48.3,37.9,4820,371,9.99,221,442,317,47.7,2.56,52.38,71.6,92.22,50,25,40,10.4,17.6,24.2,38133,25436,1.9,132,586,118,502,,,,,,,,,,,,,,,,,,,,
UPN,280,280,95,15,216,10,7.5,6.33,21.6,53.3,41.8,6280,448,10.9,266,532,399,57.2,2.74,62.03,85.8,109.9,50,25,45,11.2,18.8,29.71,55532,24518,2.12,141,608,127,518,,,,,,,,,,,,,,,,,,,,
UPN,300,300,100,16,232,10,8,6.25,23.2,58.8,46.2,8030,535,11.7,316,632,495,67.8,2.9,72.71,102,130,55,25,45,12,20,36.24,78829,23817,2.33,149,628,134,533,,,,,,,,,,,,,,,,,,,,
UPN,320,320,100,17.5,246,14,8.75,5.71,17.6,75.8,59.5,10870,679,12.1,413,826,597,80.6,2.81,91.63,121,158.9,55,25,45,15.35,20.35,61.8,104418,27823,1.42,144,695,130,603,,,,,,,,,,,,,,,,,,,,
UPN,350,350,100,16,282,14,8,6.25,20.1,77.3,60.6,12840,734,12.9,459,918,570,75,2.72,88.72,113,149.6,55,25,45,13.85,18.85,56.39,123305,24829,2.46,140,616,126,521,,,,,,,,,,,,,,,,,,,,
UPN,380,380,102,16,313,13.5,8,6.38,23.2,80.4,63.1,15760,829,14,507,1014,615,78.7,2.77,93.75,118,156.8,60,25,42,13.79,18.89,56.39,158663,22420,3.74,142,583,128,479,,,,,,,,,,,,,,,,,,,,
UPN,400,400,110,18,324,14,9,6.11,23.1,91.5,71.8,20350,1020,14.9,618,1236,846,102,3.04,119.2,153,202.3,60,25,50,15.6,21.1,76.06,239940,22576,3.42,156,640,141,529,,,,,,,,,,,,,,,,,,,,
C,C15x50,381,94.4,16.5,308,18.2,,2.86,16.9,94.8,74.4,16816,882,13.31,559,1118,458,62,2.2,67,93,134,,,,,,111,132120,32143,1.22,113,606,102,546,2.03,1.48,1.24,,,,,,,,,,,,,,,,,
C,C15x40,381,89.4,16.5,308,13.2,,2.71,23.3,76.1,59.5,14526,762,13.82,469,937,384,55,2.25,56,83,113,,,,,,60.8,110368,24639,3.03,116,477,104,428,1.97,1.95,0.99,,,,,,,,,,,,,,,,,
C,"C15x33,9",381,86.4,16.5,308,10.2,,2.62,30.3,64.3,50.4,13111,688,14.27,413,826,338,51,2.3,51,76,102,,,,,,42.5,96136,20948,5.01,118,417,106,371,2,2.28,0.84,,,,,,,,,,,,,,,,,
C,C12x30,305,80.5,12.7,248,13,,3.16,19.1,56.9,44.6,6743,442,10.9,275,551,214,34,1.94,35,51,71,,,,,,36.2,40549,28320,1.9,100,471,89.6,423,1.71,1.57,0.93,,,,,,,,,,,,,,,,,
C,C12x25,305,77.4,12.7,248,9.8,,3.04,25.2,47.4,37.2,5994,395,11.25,239,479,186,31,1.98,31,46,63,,,,,,22.5,34910,22818,3.89,102,390,91.6,349,1.71,1.89,0.77,,,,,,,,,,,,,,,,,
C,"C12x20,7",305,74.7,12.7,248,7.2,,2.94,34.6,39.3,30.8,5369,352,11.71,208,416,161,28,2.03,29,43,57,,,,,,15.4,30076,19272,6.54,104,340,93.9,302,1.77,2.21,0.64,,,,,,,,,,,,,,,,,
C,C10x30,254,77,11.1,203,17.1,,3.48,11.9,56.9,44.6,4287,339,8.69,218,436,164,27,1.7,31,41,62,,,,,,51.2,21295,43921,0.38,87.3,637,78.6,575,1.65,0.94,1.12,,,,,,,,,,,,,,,,,
C,C10x25,254,73.3,11.1,203,13.4,,3.31,15.2,47.4,37.2,3796,298,8.94,188,377,140,24,1.72,26,36,52,,,,,,28.7,18368,34155,0.95,88.3,501,79.4,452,1.57,1.25,0.93,,,,,,,,,,,,,,,,,
C,C10x20,254,69.6,11.1,203,9.6,,3.14,21.1,37.9,29.8,3284,259,9.3,158,316,117,22,1.76,22,32,44,,,,,,15.4,15280,25769,2.48,90.4,389,81.3,349,1.54,1.62,0.74,,,,,,,,,,,,,,,,,
C,"C10x15,3",254,66,11.1,203,6.1,,2.98,33.3,29,22.8,2805,221,9.83,129,259,95,19,1.81,19,29,39,,,,,,8.74,12245,19854,5.55,93.1,312,83.8,277,1.61,2.02,0.57,,,,,,,,,,,,,,,,,
C,C9x20,229,67.3,10.5,109,11.4,,3.21,9.58,37.9,29.8,2535,221,8.18,138,275,101,19,1.63,20,29,40,,,,,,17.9,10580,32512,1.08,83.8,453,75.4,409,1.48,1.31,0.83,,,,,,,,,,,,,,,,,
C,C9x15,229,63.1,10.5,109,7.2,,3.01,15.1,28.5,22.3,2123,185,8.64,111,221,80,17,1.68,17,25,34,,,,,,8.74,8325,23508,3.12,86.3,340,77.7,304,1.49,1.73,0.62,,,,,,,,,,,,,,,,,
C,"C9x13,4",229,61.8,10.5,109,5.9,,2.95,18.4,25.4,19.9,1994,174,8.84,102,205,73,16,1.7,16,24,32,,,,,,7.08,7573,21312,4.18,87.3,313,78.6,279,1.53,1.89,0.55,,,,,,,,,,,,,,,,,
C,"C8x18,75",203,64.2,9.91,156,12.4,,3.24,12.6,35.5,27.9,1831,180,7.16,113,226,82,17,1.52,18,25,36,,,,,,18.3,6740,39072,0.53,78.2,507,70.4,458,1.44,1.09,0.87,,,,,,,,,,,,,,,,,
C,"C8x13,75",203,59.5,9.91,156,7.7,,3,20.2,26.1,20.5,1503,148,7.59,89,179,64,14,1.56,14,21,28,,,,,,7.91,5156,26782,1.9,80.3,359,72.2,323,1.4,1.53,0.64,,,,,,,,,,,,,,,,,
C,"C8x11,5",203,57.4,9.91,156,5.6,,2.9,27.8,21.8,17.1,1357,133,7.9,78,156,55,13,1.59,13,19,26,,,,,,5.41,4431,22478,3.29,81.6,307,73.4,275,1.45,1.77,0.53,,,,,,,,,,,,,,,,,
C,"C7x12,25",178,55.7,9.3,133,7.98,,3,16.7,23.2,18.2,1007,114,6.6,69,138,49,12,1.45,12,17,23,,,,,,6.66,3008,30230,1.21,74.6,375,67.1,338,1.33,1.37,0.65,,,,,,,,,,,,,,,,,
C,"C7x9,8",178,53.1,9.3,133,5.3,,2.86,25,18.5,14.6,887,100,6.91,58,117,40,10,1.48,10,15,21,,,,,,4.16,2465,24322,2.35,75.9,308,68.3,277,1.37,1.64,0.52,,,,,,,,,,,,,,,,,
C,C6x13,152,54.8,8.71,111,11.1,,3.14,10,24.7,19.3,724,95,5.41,59,119,44,11,1.33,11,16,22,,,,,,9.99,1939,45628,0.27,68.5,519,61.7,469,1.31,0.97,0.81,,,,,,,,,,,,,,,,,
C,"C6x10,5",152,51.7,8.71,111,8,,2.97,13.9,19.9,15.6,633,83,5.64,50,101,36,9,1.34,9,14,19,,,,,,5.41,1598,34575,0.7,69.1,397,62.1,358,1.27,1.23,0.65,,,,,,,,,,,,,,,,,
C,"C6x8,2",152,48.8,8.71,111,5.08,,2.8,21.9,15.5,12.2,545,72,5.94,42,84,29,8,1.36,8,12,16,,,,,,3.33,1267,27614,1.37,70.1,322,63.1,290,1.3,1.52,0.5,,,,,,,,,,,,,,,,,
C,C5X9,127,47.9,8.13,88.9,8.3,,2.95,10.8,17,13.4,370,58,4.65,36,71,26,7,1.24,8,11,15,,,,,,4.58,787,41784,0.33,63.8,443,57.4,400,1.21,1.08,0.67,,,,,,,,,,,,,,,,,
C,"C5x6,7",127,44.5,8.13,88.9,4.83,,2.73,18.4,12.7,10,312,49,4.95,29,58,20,6,1.25,6,9.3,13,,,,,,2.5,596,31633,0.78,64.4,338,57.9,305,1.23,1.4,0.55,,,,,,,,,,,,,,,,,
C,"C4x7,25",102,43.7,7.52,66.7,8.15,,2.91,8.18,13.7,10.8,191,38,3.73,23,46,18,6,1.14,6,8.4,11,,,,,,3.33,333,49757,0.16,58.8,485,52.9,439,1.17,0.98,0.67,,,,,,,,,,,,,,,,,
C,"C4x5,4",102,40.2,7.52,66.7,4.67,,2.68,14.3,10.3,8.04,160,32,3.96,19,37,13,5,1.14,5,7,9,,,,,,1.66,247,36069,0.45,58.6,351,52.7,317,1.16,1.28,0.61,,,,,,,,,,,,,,,,,
C,C3x6,76.2,40.5,6.93,41.9,9.04,,2.92,4.63,11.4,8.93,86,23,2.74,14,28,13,4,1.06,4,6.6,9,,,,,,2.91,124,70208,0.04,54.3,632,48.9,572,1.16,0.82,0.74,,,,,,,,,,,,,,,,,
C,C3x5,76.2,38,6.93,41.9,6.55,,2.74,6.39,9.48,7.44,77,20,2.84,12,25,10,4,1.04,4,5.7,8,,,,,,1.66,102,53979,0.1,53.5,479,48.2,433,1.11,1,0.61,,,,,,,,,,,,,,,,,
C,"C3x4,1",76.2,35.8,6.93,41.9,4.32,,2.58,9.7,7.81,6.1,69,18,2.97,11,21,8,3,1.03,3,5,7,,,,,,1.25,83.2,47810,0.14,52.7,418,47.5,378,1.11,1.17,0.72,,,,,,,,,,,,,,,,,
MC,18x58,457,107,15.9,386,17.8,,3.36,21.7,110.3,86.3,28137,1231,15.98,775,1550,741,87.2,2.59,81,131,163,,,,,,117,287333,25478,2.88,133,568,120,509,2.19,1.77,1.2,,,,,,,,,,,,,,,,,
MC,"18x51,9",457,104,15.9,386,15.2,,3.28,25.3,98.71,77.2,26098,1142,16.28,709,1417,683,83.1,2.64,75,125,150,,,,,,84.5,264776,22071,4.76,136,505,122,450,2.18,2.02,1.07,,,,,,,,,,,,,,,,,
MC,"18x45,8",457,102,15.9,386,12.7,,3.2,30.4,87.1,68.2,24058,1054,16.66,642,1285,629,79,2.69,69,118,138,,,,,,60.4,240877,18993,7.84,138,447,125,394,2.2,2.31,0.94,,,,,,,,,,,,,,,,,
MC,"18x42,7",457,100,15.9,386,11.4,,3.16,33.8,81.29,63.5,23059,1009,16.87,610,1219,599,76.9,2.72,66,115,133,,,,,,51.2,228793,17641,9.96,140,421,126,370,2.23,2.46,0.88,,,,,,,,,,,,,,,,,
MC,13x50,330,112,15.5,260,20,,3.62,13,94.84,74.4,13070,793,11.73,496,991,687,78.5,2.69,83,118,166,,,,,,124,149843,37747,0.6,138,868,125,784,2.47,2.07,1.43,,,,,,,,,,,,,,,,,
MC,13x40,330,106,15.5,260,14.2,,3.43,18.3,76.13,59.5,11363,688,12.24,417,834,570,69.8,2.74,70,105,140,,,,,,65.3,124332,28288,1.62,141,665,127,598,2.45,2.62,1.14,,,,,,,,,,,,,,,,,
MC,13x35,330,103,15.5,260,11.4,,3.34,22.9,66.45,52.1,10489,636,12.57,379,757,512,65.4,2.79,65,98,130,,,,,,47.5,110905,24378,2.61,144,585,129,525,2.49,2.95,1,,,,,,,,,,,,,,,,,
MC,"13x31,8",330,102,15.5,260,9.53,,3.28,27.3,60.32,47.3,9948,603,12.85,353,706,475,62.4,2.82,62,94,125,,,,,,39.1,102044,22237,3.43,145,540,130,483,2.54,3.15,0.91,,,,,,,,,,,,,,,,,
MC,12x50,305,105,17.8,238,21.2,,2.95,11.2,94.84,74.4,11197,736,10.87,460,919,724,92.6,2.77,84,139,167,,,,,,135,110368,42427,0.3,142,1002,128,906,2.67,1.88,1.55,,,,,,,,,,,,,,,,,
MC,12x45,305,102,17.8,238,18.1,,2.87,13.2,85.16,67,10489,688,11.07,424,847,658,87.3,2.77,77,131,153,,,,,,97.8,100432,36604,0.51,142,865,128,781,2.64,2.14,1.39,,,,,,,,,,,,,,,,,
MC,12x40,305,98.8,17.8,238,15,,2.78,15.9,76.13,59.5,9740,639,11.33,388,775,595,81.9,2.79,70,123,141,,,,,,70.8,90228,31700,0.83,144,757,129,683,2.64,2.42,1.24,,,,,,,,,,,,,,,,,
MC,12x35,305,95.7,17.8,238,11.9,,2.69,20.1,66.45,52.1,8991,592,11.66,351,701,529,76.5,2.82,65,115,130,,,,,,52,79755,27436,1.31,145,662,130,596,2.67,2.72,1.08,,,,,,,,,,,,,,,,,
MC,12x31,305,93.2,17.8,238,9.4,,2.62,25.3,58.84,46.1,8449,554,11.96,322,644,470,71.9,2.84,61,108,122,,,,,,42,71968,24786,1.78,146,604,132,544,2.74,3,1.06,,,,,,,,,,,,,,,,,
MC,"12x10,6",305,38.1,7.8,270,4.83,,2.43,55.9,20,15.8,2306,151,10.72,95,190,15.9,5.08,0.89,5.2,7.6,10.5,,,,,,2.5,3142,12898,48.6,46,110,41,89,0.68,0.72,0.33,,,,,,,,,,,,,,,,,
MC,"10x41,1",254,110,14.6,191,20.2,,3.76,9.42,78.06,61.2,6576,516,9.17,319,637,658,80,2.9,71,120,143,,,,,,94.5,72505,45925,0.22,149,1134,134,1025,2.77,2.19,1.53,,,,,,,,,,,,,,,,,
MC,"10x33,6",254,104,14.6,191,14.6,,3.57,13,63.68,50,5786,456,9.53,274,547,549,71.8,2.95,62,108,123,,,,,,50.4,60152,34313,0.6,151,863,136,780,2.74,2.69,1.24,,,,,,,,,,,,,,,,,
MC,"10x28,5",254,100,14.6,191,10.8,,3.43,17.6,54,42.4,5286,415,9.88,243,485,475,65.9,2.97,56,99,112,,,,,,32.9,52096,28055,1.17,153,713,137,643,2.84,3.07,1.05,,,,,,,,,,,,,,,,,
